cust_id,lookalikes
C0001,"[('C0151', 0.5892556509887897), ('C0181', 0.547722557505166), ('C0137', 0.5388602512436507)]"
C0002,"[('C0084', 0.4330127018922194), ('C0028', 0.3916747259003201), ('C0021', 0.3746343246326776)]"
C0003,"[('C0192', 0.5902432522055575), ('C0148', 0.5554920598635309), ('C0181', 0.5484827557301445)]"
C0004,"[('C0118', 0.566138517072298), ('C0155', 0.5555555555555556), ('C0068', 0.5530409038562267)]"
C0005,"[('C0170', 0.4082482904638631), ('C0138', 0.37532594530273455), ('C0021', 0.36706517419289886)]"
C0006,"[('C0133', 0.5430450802499488), ('C0137', 0.5408987230262506), ('C0013', 0.5405624776173353)]"
C0007,"[('C0063', 0.3611575592573077), ('C0038', 0.3396831102433788), ('C0157', 0.3273268353539886)]"
C0008,"[('C0152', 0.5283959492674781), ('C0004', 0.5283959492674781), ('C0010', 0.5232166435699436)]"
C0009,"[('C0058', 0.4376881095324086), ('C0023', 0.4114755998989118), ('C0168', 0.4103049699311091)]"
C0010,"[('C0008', 0.5232166435699436), ('C0047', 0.47162110914189925), ('C0068', 0.4356068418690322)]"
C0011,"[('C0071', 0.5966941897186163), ('C0147', 0.5747048932153913), ('C0085', 0.56498833851691)]"
C0012,"[('C0050', 0.6125845862082031), ('C0130', 0.5753964555687506), ('C0083', 0.5704826469319205)]"
C0013,"[('C0147', 0.5969620057957092), ('C0189', 0.5938556868486721), ('C0087', 0.5853694070049636)]"
C0014,"[('C0121', 0.5416666666666667), ('C0091', 0.4803844614152615), ('C0001', 0.4714045207910317)]"
C0015,"[('C0026', 0.5283959492674781), ('C0072', 0.5099019513592785), ('C0163', 0.5098499285104607)]"
C0016,"[('C0071', 0.5853694070049636), ('C0170', 0.5222329678670935), ('C0169', 0.5195887333176438)]"
C0017,"[('C0169', 0.42640143271122083), ('C0133', 0.4243342123957527), ('C0181', 0.41957319583913677)]"
C0018,"[('C0194', 0.49827287912243984), ('C0158', 0.49193495504995366), ('C0025', 0.48989794855663554)]"
C0019,"[('C0168', 0.4178554470186726), ('C0176', 0.4008918628686367), ('C0102', 0.3927922024247863)]"
C0020,"[('C0031', 0.6087807775281011), ('C0087', 0.5399055247990169), ('C0137', 0.5047146145152359)]"
